Group,Test Freezing
MEM,16.70
MEM,25.20
MEM,39.50
MEM,57.83
MEM,54.00
MEM,77.20
MEM,53.00
MEM,33.63
MEM,31.73
MEM,32.33
MEM,16.17
Vehicle,80.73
Vehicle,75.17
Vehicle,71.10
Vehicle,55.47
Vehicle,45.57
Vehicle,67.73
Vehicle,94.03
Vehicle,96.00
Vehicle,98.07
Vehicle,95.37
Vehicle,98.00
Vehicle,91.27
