Group,Test Freezing
Running,77.42
Running,88.13
Running,60.56
Running,79.75
Running,86.64
Running,81.49
Running,74.49
Running,77.33
Running,65.30
Running,94.61
Sedentary,94.11
Sedentary,92.86
Sedentary,88.63
Sedentary,72.35
Sedentary,94.44
Sedentary,81.74
Sedentary,92.37
Sedentary,87.88
Sedentary,99.50
Sedentary,91.54
